Payoff Type,T,R,P,S,,0 to 100 by 1,,,"IF(I2=0,1)","IF(AND(I2=0,B2<>0),1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 122x123,,,,,,,65,2,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4T < 3T+P < 4R < 2T+2P < 3R+S < T+3P < 2R+2S < 4P < R+3S < 4S,4,3,1,0,,,66,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 3x5000,,,,,,,67,1,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 122x123,,,,,,,68,2,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4T < 3T+P < 4R < 2T+2P < 3R+S < T+3P < 4P < 2R+2S < R+3S < 4S,11,9,5,0,,,69,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 3x5000,,,,,,,70,1,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 122x123,,,,,,,71,2,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4T < 3T+P < 4R < 2T+2P < T+3P < 3R+S < 2R+2S < R+3S < 4P < 4S,0,0,0,0,,,72,0,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 3x5000,,,,,,,73,1,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 122x123,,,,,,,74,2,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4T < 3T+P < 4R < 2T+2P < T+3P < 3R+S < 2R+2S < 4P < R+3S < 4S,0,0,0,0,,,75,0,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 3x5000,,,,,,,76,1,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 122x123,,,,,,,77,2,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4T < 3T+P < 4R < 2T+2P < T+3P < 3R+S < 4P < 2R+2S < R+3S < 4S,7,6,4,0,,,78,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 3x5000,,,,,,,79,1,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
